Customer_ID,Gender,Age,Account_Balance,Archetype,Question ID,Question,Answer
8,F,54,172905,4,31,What is the Retirement Sum Scheme?,It provides payouts for members not on CPF LIFE.
9,M,40,17684,8,37,Can I leave my CPF savings in my account after 55?,"Yes, your savings will continue earning CPF interest if left in the accounts."
9,M,40,17684,8,39,What happens if I continue working after 55?,You can continue contributing to CPF and grow your retirement savings.
9,M,40,17684,8,36,What is the Daily Withdrawal Limit?,It caps the amount withdrawn online daily.
10,M,53,49567,2,40,Can I make CPF withdrawals anytime after 55?,"Yes, withdrawable savings can be withdrawn anytime after age 55."
11,M,26,180894,8,42,Can I continue earning interest on CPF savings?,"Yes, CPF balances continue earning interest."
11,M,26,180894,8,44,How will my nominees receive my CPF savings?,CPF savings are distributed in cash via PayNow or GIRO.
13,F,51,97947,3,48,Can I choose who receives my CPF savings after death?,"Yes, by making a CPF nomination."
13,F,51,97947,3,51,What happens if I do not make a CPF nomination?,Savings are distributed under intestacy laws.
14,F,48,37728,1,54,Do I need to refund CPF if I sell my property at a loss?,No cash top-up is required if sold at market value.
14,F,48,37728,1,52,What happens if I live longer than expected under CPF LIFE?,CPF LIFE continues paying monthly payouts for as long as you live.
14,F,48,37728,1,55,What happens if I sell my house financed with CPF savings?,CPF used plus accrued interest must be refunded.
15,M,30,131195,4,61,What is CPF used for?,"CPF supports retirement, healthcare, and housing needs."
16,M,34,26001,4,62,What is the MediSave Account?,It helps pay for healthcare expenses.
17,M,38,182155,8,65,What interest does the OA earn?,OA currently earns 2.5% interest annually.
17,M,38,182155,8,66,What interest does the SA earn?,SA currently earns 4% annual interest.
17,M,38,182155,8,67,What is CPF used for besides retirement?,CPF also supports housing and healthcare needs.
20,F,44,212023,1,70,Can I defer the start of my CPF LIFE payouts?,"Yes, up to age 70."
20,F,44,212023,1,72,What does a CPF nomination cover?,"A CPF nomination covers your CPF balances, CPF LIFE premium balance, and discounted Singtel shares."
20,F,44,212023,1,73,What is CPF LIFE?,CPF LIFE provides lifelong retirement payouts.
21,M,50,64942,7,78,What happens at age 55?,CPF savings are transferred into a Retirement Account.
21,M,50,64942,7,75,Who can join CPF LIFE?,Members aged 65 to 80 are eligible.
22,M,35,14523,3,99,What is the Full Retirement Sum?,It is the amount set aside for retirement payouts.
25,F,40,185949,8,84,Can I leave my CPF savings after 55?,"Yes, your savings continue earning CPF interest."
25,F,40,185949,8,90,Can I withdraw CPF savings online?,"Yes, eligible members can make withdrawals online."
25,F,40,185949,8,88,What is the payout eligibility age?,The payout eligibility age is currently 65.
25,F,40,185949,8,92,Why should I make a CPF nomination?,A CPF nomination ensures your CPF savings are distributed according to your wishes.
27,M,53,38509,2,95,Can I defer CPF LIFE payouts?,"Yes, payouts can be deferred up to age 70."
28,M,49,199317,4,96,What happens if I outlive my CPF savings?,CPF LIFE continues paying monthly payouts for life.
29,M,51,204061,2,101,Can I customise my withdrawal limit?,"Yes, members can lower their Daily Withdrawal Limit."
29,M,51,204061,2,98,What is CPF Withdrawal Lock?,It allows members to disable online withdrawals as an anti-scam measure.
30,F,47,177427,6,102,What happens when I turn 55?,Your OA and SA savings are transferred into your Retirement Account.
30,F,67,177427,6,103,How much can I withdraw at age 55?,"Members can withdraw up to $5,000 unconditionally."
33,F,47,177427,1,107,Does marriage affect CPF nominations?,"Yes, marriage revokes existing nominations."
33,F,47,177427,1,108,How much is my Full Retirement Sum?,"You can refer to the table below for your Full Retirement Sum (FRS) amount, which depends on the year you turn 55 and will remain the same for life.   Year turn 55 Full Retirement Sum (FRS) 1 July 2015 to 2016 $161,000 2017 $166,000 2018 $171,000 2019 $176,000 2020 $181,000 2021 $186,000 2022 $192,000 2023 $198,800 2024 $205,800 2025 $213,000 2026 $220,400 2027 $228,200   If you turned 55 before 1 July 2015, you can  view the past FRS (PDF, 35.1KB).   You can set aside your FRS with a mixture of CPF savings in your Retirement Account (RA) and CPF savings used for your property .   If you are 55 and above, you can choose to set aside more in your RA via top ups, up to the current Enhanced Retirement Sum, for higher monthly payouts."
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,7286.2,,,,
